incident_id,site_id,incident_date,incident_type,severity_1to5,property_loss_usd
65,13,2023-08-19,False Alarm,2,0.0
66,13,2023-09-26,Real Event,3,22151.68
67,13,2025-06-16,Real Event,2,31010.48
68,14,2023-01-15,False Alarm,5,0.0
69,14,2025-05-12,False Alarm,4,0.0
70,14,2025-05-09,False Alarm,5,0.0
71,15,2023-02-09,False Alarm,4,0.0
72,15,2023-02-04,False Alarm,5,0.0
73,15,2023-05-19,Real Event,4,27301.48
74,15,2023-10-21,False Alarm,4,0.0
75,15,2023-11-10,Real Event,4,46297.82
76,15,2024-09-16,False Alarm,3,0.0
77,15,2024-10-22,False Alarm,4,0.0
78,15,2024-12-03,Real Event,3,42827.73
79,15,2025-07-11,False Alarm,4,0.0
80,17,2022-09-16,Real Event,5,25181.22
81,17,2022-09-10,Real Event,5,32049.34
82,17,2022-12-27,Real Event,4,20836.06
83,17,2023-05-12,False Alarm,3,0.0
84,17,2024-03-27,False Alarm,4,0.0
85,17,2024-03-01,Real Event,2,25401.36
86,17,2024-11-16,False Alarm,4,0.0
87,17,2025-09-17,False Alarm,3,0.0
88,18,2022-09-11,False Alarm,3,0.0
89,18,2022-10-23,Real Event,4,44324.37
90,18,2023-11-12,Real Event,3,28016.56
91,18,2024-12-01,False Alarm,4,0.0
92,18,2025-05-21,False Alarm,4,0.0
93,18,2025-05-02,Real Event,4,39319.56
94,19,2023-04-10,False Alarm,3,0.0
95,19,2023-07-02,Real Event,4,15133.36
96,19,2025-03-16,False Alarm,4,0.0
97,19,2025-07-12,Real Event,4,14172.18
98,19,2025-07-03,False Alarm,5,0.0
99,19,2025-09-23,Real Event,5,23400.36
100,19,2025-09-13,Real Event,5,12168.12
101,20,2023-11-15,Real Event,2,8427.93
102,20,2025-04-16,False Alarm,5,0.0
103,20,2025-07-18,False Alarm,4,0.0
104,21,2023-01-03,False Alarm,4,0.0
105,21,2023-04-17,Real Event,5,40398.62
106,21,2024-05-17,Real Event,4,48499.09
107,21,2024-05-01,Real Event,5,32253.99
108,21,2024-12-04,Real Event,4,38743.84
109,21,2024-12-21,False Alarm,4,0.0
110,22,2024-03-13,Real Event,5,17728.7
111,22,2024-03-13,False Alarm,2,0.0
112,23,2022-09-09,False Alarm,3,0.0
113,23,2022-09-01,Real Event,5,32276.51
114,23,2023-03-04,Real Event,3,24175.11
115,23,2023-12-23,False Alarm,2,0.0
116,23,2024-09-16,Real Event,5,65669.09
117,23,2025-06-10,Real Event,3,29545.74
118,24,2023-01-24,False Alarm,4,0.0
119,24,2023-09-22,Real Event,5,63788.15
120,24,2024-04-21,False Alarm,5,0.0
121,24,2024-04-25,Real Event,4,100958.8
122,24,2025-03-21,Real Event,5,191998.74
123,25,2023-07-22,Real Event,5,17234.26
124,25,2023-09-08,False Alarm,3,0.0
125,25,2024-06-22,Real Event,4,17384.97
126,25,2024-11-17,Real Event,5,40202.8
127,25,2025-06-26,Real Event,3,15853.5
128,25,2025-06-16,False Alarm,4,0.0
129,25,2025-07-11,False Alarm,4,0.0
130,25,2025-07-05,Real Event,2,32223.31
131,26,2024-03-20,False Alarm,4,0.0
132,26,2024-12-22,False Alarm,4,0.0
133,27,2023-01-04,Real Event,5,42619.11
134,27,2023-06-12,Real Event,3,19945.8
135,27,2023-10-06,False Alarm,4,0.0
136,27,2023-12-27,Real Event,4,37867.35
137,27,2023-12-23,Real Event,5,40801.3
138,27,2024-08-01,False Alarm,4,0.0
139,27,2024-08-23,False Alarm,5,0.0
140,27,2024-10-25,False Alarm,5,0.0
141,27,2024-12-27,Real Event,5,26942.33
142,27,2025-02-01,False Alarm,5,0.0
143,27,2025-02-21,Real Event,5,22191.04
144,27,2025-09-11,False Alarm,4,0.0
145,28,2023-03-08,False Alarm,3,0.0
146,28,2023-08-11,Real Event,5,67473.9
147,28,2023-08-07,Real Event,4,82529.55
148,28,2023-12-08,False Alarm,5,0.0
149,28,2024-05-03,Real Event,4,70511.08
150,28,2024-11-01,False Alarm,4,0.0
151,28,2025-01-21,False Alarm,3,0.0
152,28,2025-01-21,Real Event,3,88554.25
153,28,2025-04-19,Real Event,2,71237.81
154,28,2025-05-20,False Alarm,4,0.0
155,29,2022-10-21,False Alarm,5,0.0
156,29,2023-01-26,False Alarm,4,0.0
157,29,2023-01-06,Real Event,3,32620.6
158,29,2023-03-10,False Alarm,3,0.0
159,29,2025-02-26,Real Event,4,21902.77
160,29,2025-06-19,Real Event,4,22074.24
161,30,2024-04-18,Real Event,5,22506.28
162,30,2025-03-23,False Alarm,5,0.0
163,30,2025-04-22,Real Event,4,31063.41
164,30,2025-08-26,Real Event,3,16627.23
165,31,2022-09-26,False Alarm,4,0.0
166,31,2022-11-03,Real Event,4,48221.74
167,31,2024-04-19,Real Event,3,50820.63
168,31,2024-08-02,False Alarm,5,0.0
169,31,2024-08-06,False Alarm,5,0.0
170,31,2025-02-22,False Alarm,5,0.0
171,31,2025-06-05,False Alarm,4,0.0
172,32,2023-03-16,Real Event,5,35936.59
173,32,2023-05-23,Real Event,3,39425.95
174,32,2023-08-21,False Alarm,3,0.0
175,32,2023-08-05,False Alarm,5,0.0
176,32,2024-08-26,False Alarm,5,0.0
177,32,2025-06-22,False Alarm,4,0.0
178,32,2025-09-20,False Alarm,4,0.0
179,33,2022-09-25,Real Event,5,30244.39
180,33,2023-12-18,False Alarm,5,0.0
181,33,2025-09-27,False Alarm,5,0.0
182,34,2023-08-15,Real Event,3,19531.46
183,34,2023-10-02,False Alarm,4,0.0
184,34,2023-10-15,Real Event,3,20965.67
185,34,2024-11-22,False Alarm,4,0.0
186,34,2024-11-26,False Alarm,5,0.0
187,34,2025-06-06,Real Event,4,13512.49
188,35,2024-05-14,Real Event,4,44142.97
189,36,2022-09-24,False Alarm,3,0.0
190,36,2024-06-23,False Alarm,4,0.0
191,36,2025-02-12,Real Event,3,28618.43
192,37,2023-12-20,Real Event,4,35616.91
193,37,2024-06-16,False Alarm,4,0.0
194,38,2022-09-24,False Alarm,4,0.0
195,38,2023-11-24,Real Event,4,14103.09
196,38,2024-04-27,Real Event,4,15525.12
197,39,2022-11-23,False Alarm,4,0.0
198,39,2022-12-22,Real Event,2,30146.29
199,39,2023-01-13,Real Event,3,40904.53
200,39,2023-01-25,Real Event,4,41708.41
201,39,2023-04-11,Real Event,4,58647.99
202,39,2023-09-04,False Alarm,3,0.0
203,39,2024-03-09,Real Event,4,61333.69
204,39,2024-08-18,False Alarm,4,0.0
205,39,2024-08-10,False Alarm,5,0.0
206,39,2025-03-19,False Alarm,3,0.0
207,39,2025-03-11,False Alarm,4,0.0
208,39,2025-04-26,Real Event,4,49084.09
209,39,2025-07-21,Real Event,4,23993.06
210,39,2025-07-16,Real Event,5,45357.28
211,40,2023-01-11,False Alarm,4,0.0
212,40,2024-01-21,False Alarm,4,0.0
213,41,2023-02-06,Real Event,2,16292.7
214,41,2023-02-02,False Alarm,4,0.0
215,41,2023-08-05,False Alarm,4,0.0
216,41,2023-11-17,Real Event,2,13120.53
217,41,2024-03-07,Real Event,4,31489.96
218,41,2025-05-25,Real Event,5,26836.7
219,41,2025-06-12,Real Event,5,42751.49
220,41,2025-09-22,Real Event,3,25103.53
221,42,2024-11-11,Real Event,4,10439.89
222,42,2025-09-14,False Alarm,4,0.0
223,43,2023-07-09,False Alarm,4,0.0
224,43,2023-08-10,Real Event,4,37184.01
225,43,2023-08-04,Real Event,5,40677.96
226,43,2024-06-25,Real Event,3,24435.76
227,43,2024-07-17,Real Event,4,25328.49
228,43,2024-07-17,Real Event,1,8429.95
229,43,2024-11-14,False Alarm,3,0.0
230,43,2025-03-12,Real Event,5,36189.25
231,43,2025-09-27,False Alarm,4,0.0
232,43,2025-09-03,Real Event,4,28662.38
233,44,2024-12-25,False Alarm,4,0.0
234,45,2023-12-02,False Alarm,4,0.0
235,45,2024-11-18,False Alarm,2,0.0
236,45,2024-11-02,False Alarm,3,0.0
237,45,2025-04-12,False Alarm,4,0.0
238,45,2025-04-21,Real Event,5,34113.25
239,46,2022-11-22,False Alarm,2,0.0
240,46,2024-03-27,False Alarm,3,0.0
241,46,2024-09-24,Real Event,3,35299.78
242,46,2025-09-03,False Alarm,5,0.0
243,47,2024-06-07,Real Event,2,15500.97
244,47,2024-06-06,Real Event,3,17852.48
245,47,2024-07-18,Real Event,3,11999.5
246,47,2024-11-08,False Alarm,1,0.0
247,47,2025-05-21,False Alarm,5,0.0
248,47,2025-07-18,Real Event,5,19803.55
249,47,2025-08-08,False Alarm,5,0.0
250,48,2023-06-25,Real Event,4,31532.82
251,48,2023-06-25,False Alarm,3,0.0
252,48,2025-04-20,False Alarm,3,0.0
253,48,2025-07-21,False Alarm,4,0.0
254,48,2025-07-01,False Alarm,5,0.0
255,49,2023-01-08,False Alarm,5,0.0
256,49,2023-02-24,Real Event,5,47437.04
257,49,2023-02-13,False Alarm,4,0.0
258,49,2023-09-18,Real Event,5,30305.17
259,49,2023-11-11,Real Event,4,53407.64
260,49,2023-11-09,False Alarm,5,0.0
261,49,2024-01-17,Real Event,3,34183.16
262,49,2024-09-24,Real Event,3,46257.63
263,49,2025-03-06,False Alarm,3,0.0
264,50,2023-05-15,False Alarm,3,0.0
265,50,2024-01-26,False Alarm,5,0.0
266,50,2025-08-25,False Alarm,4,0.0
267,51,2023-11-04,False Alarm,4,0.0
268,51,2024-05-13,False Alarm,5,0.0
269,51,2024-07-16,False Alarm,3,0.0
270,52,2023-12-20,False Alarm,4,0.0
271,52,2024-07-05,Real Event,4,27961.31
272,52,2024-07-16,Real Event,4,27286.25
273,52,2025-08-16,Real Event,2,22677.71
274,52,2025-08-09,Real Event,2,21431.12
275,53,2022-10-08,False Alarm,4,0.0
276,53,2024-09-13,Real Event,5,20611.46
277,53,2024-09-04,Real Event,4,8120.5
278,53,2025-06-24,Real Event,4,30661.72
279,53,2025-09-05,False Alarm,3,0.0
280,54,2022-11-20,Real Event,5,61681.17
281,54,2022-11-06,False Alarm,4,0.0
282,54,2023-04-03,Real Event,4,33544.14
283,54,2023-09-21,False Alarm,3,0.0
284,55,2022-11-11,Real Event,3,8922.49
285,55,2022-11-22,False Alarm,3,0.0
286,55,2022-12-09,Real Event,5,27822.61
287,55,2022-12-23,False Alarm,4,0.0
288,55,2025-06-04,False Alarm,3,0.0
289,56,2022-11-20,Real Event,3,31440.13
290,56,2022-12-26,False Alarm,3,0.0
291,56,2023-01-19,False Alarm,5,0.0
292,56,2023-05-26,Real Event,5,38140.06
293,56,2023-07-17,Real Event,5,28427.12
294,56,2023-09-03,Real Event,5,38121.22
295,56,2023-10-02,Real Event,4,37065.93
296,56,2025-07-01,Real Event,5,30225.61
297,57,2022-09-15,False Alarm,2,0.0
298,57,2022-11-26,False Alarm,3,0.0
299,57,2022-12-25,False Alarm,5,0.0
300,57,2022-12-26,False Alarm,5,0.0
301,57,2024-07-21,False Alarm,3,0.0
302,57,2025-08-21,False Alarm,5,0.0
303,57,2025-08-13,False Alarm,5,0.0
304,58,2022-09-20,False Alarm,4,0.0
305,58,2024-01-04,Real Event,4,20674.27
306,58,2025-09-19,Real Event,4,19896.83
307,59,2023-01-07,Real Event,3,35066.5
308,59,2023-01-16,Real Event,3,48000.67
309,59,2023-03-24,False Alarm,4,0.0
310,59,2024-12-10,Real Event,4,20940.19
311,59,2024-12-02,Real Event,3,29363.61
312,59,2025-06-24,Real Event,5,53461.13
313,59,2025-08-21,False Alarm,2,0.0
314,59,2025-09-14,False Alarm,4,0.0
315,60,2022-09-10,False Alarm,4,0.0
316,60,2023-03-13,Real Event,3,44268.43
317,60,2023-04-15,Real Event,4,54290.99
318,60,2023-04-16,False Alarm,2,0.0
319,60,2023-09-22,Real Event,4,43006.89
320,60,2025-01-06,False Alarm,3,0.0
321,60,2025-01-11,Real Event,4,24717.98
322,60,2025-04-22,False Alarm,3,0.0
323,60,2025-04-08,False Alarm,4,0.0
324,60,2025-09-24,Real Event,5,33265.5
325,61,2022-09-01,Real Event,3,26711.15
326,61,2023-04-18,False Alarm,3,0.0
327,61,2024-06-18,False Alarm,3,0.0
328,61,2024-12-14,Real Event,4,31236.13
329,62,2024-11-14,Real Event,2,35775.3
330,62,2024-11-27,Real Event,4,51235.21
331,62,2024-12-05,False Alarm,3,0.0
332,62,2024-12-27,Real Event,3,23037.24
333,62,2025-02-13,Real Event,5,56607.88
334,63,2024-06-01,Real Event,5,42605.97
335,63,2025-03-07,Real Event,4,49505.24
336,63,2025-05-17,Real Event,3,17236.89
337,64,2023-06-01,False Alarm,5,0.0
338,64,2023-10-25,Real Event,5,33094.31
339,64,2024-05-02,False Alarm,5,0.0
340,64,2024-05-03,False Alarm,4,0.0
341,64,2025-09-18,False Alarm,4,0.0
342,64,2025-09-19,False Alarm,4,0.0
343,65,2024-06-07,False Alarm,3,0.0
344,65,2024-06-19,False Alarm,4,0.0
345,65,2024-08-11,False Alarm,3,0.0
346,65,2025-07-03,False Alarm,4,0.0
347,65,2025-07-03,Real Event,5,64981.6
348,66,2023-01-16,False Alarm,5,0.0
349,66,2023-01-04,False Alarm,4,0.0
350,66,2024-01-17,False Alarm,5,0.0
351,66,2024-07-04,False Alarm,2,0.0
352,66,2025-03-03,Real Event,5,35052.69
353,67,2023-01-01,False Alarm,3,0.0
354,67,2023-07-18,Real Event,5,58687.67
355,67,2024-07-05,False Alarm,4,0.0
356,67,2024-07-05,Real Event,5,65873.64
357,68,2023-06-09,False Alarm,4,0.0
358,68,2023-08-08,False Alarm,4,0.0
359,68,2024-08-27,False Alarm,3,0.0
360,68,2024-11-14,Real Event,4,36288.79
361,69,2022-09-05,Real Event,3,50433.4
362,69,2022-09-05,False Alarm,3,0.0
363,69,2023-01-19,False Alarm,4,0.0
364,69,2023-01-06,Real Event,4,7852.69
365,69,2023-09-11,False Alarm,2,0.0
366,69,2024-04-07,Real Event,4,57942.44
367,69,2024-04-27,Real Event,4,67186.72
368,69,2024-06-05,Real Event,5,53891.13
369,69,2025-01-14,False Alarm,3,0.0
370,70,2022-10-09,Real Event,5,64056.39
371,70,2024-03-21,False Alarm,3,0.0
372,70,2024-05-05,Real Event,4,47387.58
373,70,2024-11-15,Real Event,5,83795.55
374,70,2025-05-17,Real Event,5,66878.05
375,71,2023-10-13,False Alarm,3,0.0
376,71,2023-10-23,False Alarm,3,0.0
377,71,2024-06-22,Real Event,2,13543.76
378,71,2024-06-10,False Alarm,4,0.0
379,71,2024-09-22,False Alarm,4,0.0
380,71,2024-09-05,False Alarm,4,0.0
381,72,2023-05-16,Real Event,5,41700.26
382,72,2023-06-24,False Alarm,5,0.0
383,72,2025-03-09,Real Event,5,43359.77
384,72,2025-05-16,Real Event,5,19519.92
385,72,2025-06-23,Real Event,4,21808.06
386,72,2025-06-05,Real Event,5,16751.96
387,73,2023-03-08,Real Event,3,23149.48
388,73,2023-04-22,Real Event,4,18172.14
389,73,2023-10-08,False Alarm,3,0.0
390,73,2025-05-03,False Alarm,4,0.0
391,73,2025-05-03,False Alarm,2,0.0
392,73,2025-09-07,False Alarm,3,0.0
393,74,2022-11-02,Real Event,5,23553.66
394,74,2023-12-09,False Alarm,5,0.0
395,74,2024-03-21,Real Event,4,19024.88
396,74,2024-03-10,Real Event,4,23484.57
397,75,2023-02-02,False Alarm,2,0.0
398,75,2023-06-17,Real Event,5,79108.39
399,75,2025-03-17,Real Event,5,70511.17
400,75,2025-09-25,Real Event,5,53733.96
401,76,2023-02-14,False Alarm,3,0.0
402,76,2023-04-05,False Alarm,4,0.0
403,76,2023-06-26,Real Event,1,6561.28
404,76,2024-02-26,False Alarm,2,0.0
405,76,2024-06-10,False Alarm,3,0.0
406,76,2025-03-25,Real Event,4,20533.08
407,76,2025-05-01,False Alarm,5,0.0
408,76,2025-09-09,False Alarm,3,0.0
409,76,2025-09-17,Real Event,4,19803.28
410,77,2022-10-21,False Alarm,4,0.0
411,77,2023-01-03,False Alarm,4,0.0
412,77,2023-01-14,Real Event,3,38111.71
413,77,2023-07-16,False Alarm,5,0.0
414,77,2024-04-26,False Alarm,4,0.0
415,77,2024-08-21,False Alarm,4,0.0
416,78,2023-10-01,Real Event,4,16315.98
417,78,2024-06-14,False Alarm,4,0.0
418,78,2024-10-13,False Alarm,3,0.0
419,79,2023-09-08,False Alarm,2,0.0
420,79,2023-12-22,False Alarm,2,0.0
421,80,2023-05-18,Real Event,4,25262.03
422,80,2024-08-14,False Alarm,5,0.0
423,81,2023-10-17,Real Event,4,77766.61
424,81,2024-06-19,False Alarm,3,0.0
425,82,2022-10-07,False Alarm,4,0.0
426,82,2023-07-08,Real Event,5,250.0
427,82,2024-04-10,Real Event,4,18680.43
428,83,2022-10-18,Real Event,4,17424.79
429,83,2022-11-20,Real Event,4,23270.82
430,83,2023-04-25,False Alarm,4,0.0
431,83,2023-04-21,Real Event,2,61641.39
432,83,2023-05-12,False Alarm,3,0.0
433,83,2023-05-22,False Alarm,1,0.0
434,83,2023-06-24,Real Event,3,65989.07
435,83,2023-09-15,Real Event,3,49365.06
436,83,2024-01-24,False Alarm,4,0.0
437,83,2024-03-02,False Alarm,5,0.0
438,83,2024-05-15,Real Event,3,35750.26
439,83,2025-06-06,Real Event,2,37682.0
440,83,2025-08-04,False Alarm,2,0.0
441,83,2025-09-15,Real Event,4,62836.88
442,83,2025-09-21,Real Event,5,46946.37
443,84,2023-07-02,Real Event,4,36138.17
444,84,2023-11-24,Real Event,5,56035.02
445,84,2024-04-05,False Alarm,3,0.0
446,84,2024-05-20,Real Event,4,48458.53
447,84,2024-05-03,Real Event,3,5669.99
448,84,2024-12-02,False Alarm,3,0.0
449,84,2025-02-13,Real Event,4,29789.61
450,85,2023-05-16,False Alarm,4,0.0
451,85,2023-05-09,False Alarm,4,0.0
452,85,2025-05-27,Real Event,3,44087.4
453,86,2023-06-19,False Alarm,4,0.0
454,86,2023-10-11,Real Event,4,79816.31
455,86,2024-06-01,Real Event,5,45851.54
456,86,2024-07-16,Real Event,4,85472.54
457,86,2025-01-15,False Alarm,4,0.0
458,86,2025-07-10,Real Event,4,32044.99
459,87,2022-09-17,False Alarm,4,0.0
460,87,2022-10-13,False Alarm,4,0.0
461,87,2022-10-10,False Alarm,4,0.0
462,87,2024-12-06,False Alarm,4,0.0
463,87,2024-12-25,Real Event,4,38926.13
464,87,2025-03-12,Real Event,3,34779.45
465,87,2025-03-03,False Alarm,5,0.0
466,88,2023-08-27,Real Event,5,33332.88
467,88,2025-07-22,Real Event,3,16850.7
468,89,2022-10-20,False Alarm,5,0.0
469,89,2023-01-19,False Alarm,5,0.0
470,89,2024-01-05,Real Event,5,14750.3
471,89,2024-03-26,Real Event,4,22664.1
472,89,2024-12-08,False Alarm,3,0.0
473,89,2025-06-01,False Alarm,5,0.0
474,89,2025-06-13,Real Event,2,10720.48
475,90,2023-05-24,Real Event,1,29256.66
476,90,2023-05-01,Real Event,3,250.0
477,90,2024-02-23,False Alarm,3,0.0
478,90,2024-03-19,Real Event,4,24953.01
479,90,2024-05-20,False Alarm,5,0.0
480,90,2024-08-06,Real Event,4,13448.94
481,90,2024-11-14,False Alarm,2,0.0
482,90,2025-01-06,Real Event,4,27271.28
483,91,2025-08-12,False Alarm,4,0.0
484,92,2022-11-09,False Alarm,3,0.0
485,92,2022-12-22,Real Event,2,14487.27
486,92,2022-12-03,False Alarm,5,0.0
487,92,2023-02-02,Real Event,4,27504.18
488,92,2023-05-08,False Alarm,4,0.0
489,92,2023-06-06,False Alarm,5,0.0
490,92,2023-06-17,False Alarm,5,0.0
491,92,2023-07-20,Real Event,4,33404.24
492,92,2023-07-09,False Alarm,3,0.0
493,92,2023-08-26,False Alarm,4,0.0
494,92,2023-10-02,False Alarm,5,0.0
495,92,2023-10-07,False Alarm,4,0.0
496,92,2024-01-02,False Alarm,5,0.0
497,92,2024-01-27,False Alarm,5,0.0
498,92,2024-12-05,Real Event,4,28379.99
499,93,2023-07-09,Real Event,4,69566.48
500,93,2023-09-20,False Alarm,5,0.0
501,93,2023-10-18,Real Event,3,33030.98
502,93,2024-05-27,False Alarm,3,0.0
503,93,2024-10-11,False Alarm,4,0.0
504,93,2025-07-05,Real Event,5,54269.26
505,93,2025-07-09,False Alarm,5,0.0
506,94,2023-01-01,False Alarm,4,0.0
507,94,2023-01-09,False Alarm,4,0.0
508,94,2023-05-22,Real Event,3,20242.02
509,94,2023-09-15,Real Event,5,25246.5
510,94,2023-09-17,False Alarm,3,0.0
511,94,2023-12-12,Real Event,4,36649.77
512,94,2024-08-16,False Alarm,4,0.0
513,94,2024-08-05,False Alarm,5,0.0
514,94,2024-11-12,False Alarm,3,0.0
515,94,2025-02-13,Real Event,5,45708.57
516,94,2025-06-26,False Alarm,5,0.0
517,95,2022-09-12,Real Event,4,87778.44
518,95,2022-09-09,False Alarm,3,0.0
519,95,2023-01-12,Real Event,4,29538.78
520,95,2023-09-20,Real Event,5,60508.85
521,95,2023-11-04,Real Event,2,29515.41
522,95,2023-12-05,Real Event,3,65674.91
523,95,2024-06-27,Real Event,4,68221.27
524,95,2024-07-24,False Alarm,4,0.0
525,95,2024-07-22,False Alarm,4,0.0
526,96,2023-01-18,False Alarm,4,0.0
527,96,2024-02-25,Real Event,4,43585.21
528,96,2024-02-06,Real Event,3,16184.94
529,96,2024-10-25,Real Event,4,26634.71
530,97,2022-09-18,False Alarm,4,0.0
531,97,2023-02-04,Real Event,2,9451.43
532,97,2023-02-13,False Alarm,4,0.0
533,97,2023-03-15,Real Event,5,16295.1
534,97,2023-04-25,Real Event,5,29420.51
535,97,2023-04-15,Real Event,5,15864.8
536,97,2023-06-21,Real Event,5,19651.8
537,97,2023-10-08,Real Event,5,13608.25
538,97,2025-02-07,False Alarm,5,0.0
539,97,2025-09-07,Real Event,3,16034.27
540,98,2023-06-08,False Alarm,2,0.0
541,98,2023-06-11,Real Event,4,53439.79
542,98,2023-07-15,Real Event,3,36428.25
543,98,2024-03-20,False Alarm,5,0.0
544,98,2024-08-26,False Alarm,4,0.0
545,98,2025-01-01,False Alarm,5,0.0
546,98,2025-01-18,Real Event,5,57735.16
547,98,2025-09-21,False Alarm,2,0.0
548,99,2023-02-07,False Alarm,5,0.0
549,99,2024-06-07,False Alarm,4,0.0
550,99,2024-06-03,Real Event,3,25333.39
551,99,2025-07-01,Real Event,2,734.7
552,100,2022-11-27,Real Event,3,49332.27
553,100,2024-01-23,Real Event,4,45051.77
554,100,2024-02-12,Real Event,4,47700.55
555,100,2024-02-04,Real Event,4,54890.63
556,100,2024-07-18,Real Event,4,84352.22
557,100,2024-08-26,False Alarm,4,0.0
558,100,2025-04-10,Real Event,5,50999.85
559,100,2025-04-21,Real Event,3,50000.32
560,101,2023-03-14,Real Event,3,20500.97
561,101,2023-04-11,Real Event,3,6496.57
562,101,2023-04-15,Real Event,5,32484.25
563,101,2023-08-25,False Alarm,2,0.0
564,101,2023-08-23,Real Event,4,22634.52
565,101,2024-10-09,False Alarm,2,0.0
566,102,2022-09-13,Real Event,5,84071.07
567,102,2023-11-21,Real Event,3,61298.98
568,102,2024-03-01,Real Event,4,59382.53
569,102,2024-04-07,Real Event,3,84026.74
570,102,2024-04-09,False Alarm,4,0.0
571,102,2024-09-19,Real Event,3,62437.36
572,102,2024-10-11,False Alarm,4,0.0
573,102,2025-02-16,False Alarm,4,0.0
574,102,2025-06-22,Real Event,4,55581.04
575,102,2025-06-04,Real Event,4,116198.11
576,103,2022-09-06,Real Event,3,5531.56
577,103,2022-09-23,Real Event,3,14176.34
578,103,2023-05-16,Real Event,5,17287.94
579,103,2023-07-02,Real Event,4,22297.13
580,103,2024-06-19,False Alarm,4,0.0
581,103,2025-05-13,False Alarm,5,0.0
582,103,2025-06-11,Real Event,3,7007.19
583,104,2023-01-02,False Alarm,3,0.0
584,104,2023-06-08,False Alarm,4,0.0
585,104,2024-01-03,Real Event,3,15460.41
586,104,2024-01-09,Real Event,3,16233.87
587,104,2024-04-20,Real Event,2,6937.11
588,104,2024-12-19,False Alarm,4,0.0
589,104,2025-04-04,Real Event,4,11520.05
590,105,2022-10-14,False Alarm,5,0.0
591,105,2022-10-13,False Alarm,5,0.0
592,105,2023-08-15,False Alarm,5,0.0
593,105,2023-10-23,Real Event,5,65785.54
594,105,2024-04-14,Real Event,4,71610.56
595,105,2024-06-07,Real Event,4,74928.98
596,105,2024-06-14,Real Event,5,65976.76
597,106,2022-09-21,False Alarm,4,0.0
598,106,2023-10-07,False Alarm,4,0.0
599,107,2023-03-16,False Alarm,5,0.0
600,107,2023-12-26,Real Event,3,35479.16
601,107,2023-12-15,False Alarm,5,0.0
602,107,2024-08-26,False Alarm,4,0.0
603,107,2024-09-13,False Alarm,4,0.0
604,107,2024-11-25,Real Event,5,28902.33
605,107,2024-12-22,False Alarm,5,0.0
