site_id,site_name,site_type,occupancy_class,has_sprinklers,sq_ft,city,address,ahj_jurisdiction,installed_year,system_age_years,service_level,risk_score
34,Warehouse #34,Warehouse,Moderate,True,33161,Dayton,15962 John Place,Dayton Fire Dept,1996,29,Gold,0.5257040833333334
35,Warehouse #35,Warehouse,Light,True,64318,Cincinnati,3127 Fleming Curve Suite 888,Cincinnati Fire Dept,2023,2,Silver,0.09657183333333333
36,Retail #36,Retail,Light,True,34976,Cleveland,64902 Wesley Park,Cleveland Fire Dept,2022,3,Silver,0.086232
37,Office #37,Office,High,True,30474,Cincinnati,7619 Michael Ramp Apt. 930,Cincinnati Fire Dept,2019,6,Silver,0.31785549999999996
38,Hospitality #38,Hospitality,Light,True,24121,Akron,635 Hamilton Ridge,Akron Fire Dept,2010,15,Silver,0.21809074999999997
39,Office #39,Office,Light,False,51846,Akron,32566 Howard Isle,Akron Fire Dept,1999,26,Silver,0.5672178333333333
40,Education #40,Education,Ordinary,True,27278,Louisville,2418 Jerry Islands,Louisville Fire Dept,2000,25,Gold,0.4121251666666667
41,Healthcare #41,Healthcare,Light,True,40120,Cleveland,2029 Lewis Roads Suite 248,Cleveland Fire Dept,2003,22,Bronze,0.3117566666666667
42,Manufacturing #42,Manufacturing,Ordinary,True,78715,Akron,345 Jessica Forge,Akron Fire Dept,2017,8,Bronze,0.2523695833333333
43,Warehouse #43,Warehouse,Light,False,12096,Columbus,110 Ball Centers,Columbus Fire Dept,2003,22,Gold,0.4907386666666667
44,Retail #44,Retail,Light,True,96860,Cincinnati,869 Michelle Fords,Cincinnati Fire Dept,2021,4,Gold,0.14431166666666667
45,Office #45,Office,Light,True,40985,Louisville,24222 Aguirre Ferry,Louisville Fire Dept,2022,3,Gold,0.09073874999999999
46,Office #46,Office,Light,True,59146,Cincinnati,4047 Candace Way Apt. 543,Cincinnati Fire Dept,2016,9,Silver,0.1743595
47,Retail #47,Retail,Moderate,True,23353,Dayton,94310 Murphy Forks,Dayton Fire Dept,2019,6,Gold,0.25001475
48,Warehouse #48,Warehouse,Ordinary,True,56575,Dayton,203 Henderson Islands,Dayton Fire Dept,2021,4,Silver,0.18909791666666667
49,Office #49,Office,Moderate,False,52882,Akron,804 Ryan Garden,Akron Fire Dept,2022,3,Gold,0.43716150000000004
50,Hospitality #50,Hospitality,High,False,30854,Louisville,6430 Rachel Rest Suite 797,Louisville Fire Dept,2020,5,Silver,0.5064738333333333
51,Office #51,Office,Ordinary,False,49576,Cleveland,94153 Griffin Island Apt. 326,Cleveland Fire Dept,2013,12,Silver,0.477182
52,Retail #52,Retail,Light,True,33842,Columbus,91740 Antonio Alley,Columbus Fire Dept,2018,7,Silver,0.13204816666666666
53,Manufacturing #53,Manufacturing,Ordinary,True,35144,Dayton,69419 Lori Island Apt. 733,Dayton Fire Dept,2013,12,Silver,0.266358
54,Hospitality #54,Hospitality,High,True,96969,Dayton,25813 Joseph Keys Suite 184,Dayton Fire Dept,2002,23,Silver,0.5660600833333334
55,Retail #55,Retail,Moderate,True,36102,Louisville,409 Strong Ville,Louisville Fire Dept,2023,2,Gold,0.21290983333333335
56,Warehouse #56,Warehouse,Moderate,True,39280,Cleveland,675 Chang Shores Apt. 810,Cleveland Fire Dept,2000,25,Gold,0.4836266666666667
57,Office #57,Office,High,False,42991,Cleveland,0279 Michelle Burg Suite 154,Cleveland Fire Dept,2013,12,Bronze,0.59724325
58,Healthcare #58,Healthcare,Moderate,True,14588,Akron,390 Dustin Islands,Akron Fire Dept,2007,18,Silver,0.383441
59,Retail #59,Retail,Light,True,79659,Cincinnati,49479 Stacie Terrace,Cincinnati Fire Dept,1996,29,Silver,0.42307758333333334
60,Healthcare #60,Healthcare,Moderate,True,93486,Akron,43180 Burns Stravenue Apt. 418,Akron Fire Dept,2015,10,Bronze,0.34928116666666664
61,Office #61,Office,Light,True,56050,Cincinnati,46862 Sally Plaza,Cincinnati Fire Dept,2020,5,Silver,0.12537083333333332
62,Warehouse #62,Warehouse,Moderate,True,52032,Cleveland,47516 Jessica Causeway Apt. 080,Cleveland Fire Dept,2001,24,Silver,0.481524
63,Office #63,Office,Light,True,74994,Dayton,4670 Rubio Island,Dayton Fire Dept,2010,15,Silver,0.2562455
64,Retail #64,Retail,High,True,51069,Cleveland,449 Donald Underpass,Cleveland Fire Dept,1998,27,Silver,0.5783017500000001
65,Healthcare #65,Healthcare,High,False,61623,Louisville,207 Bruce Extensions,Louisville Fire Dept,2014,11,Silver,0.5995505833333333
66,Retail #66,Retail,Moderate,True,48236,Cincinnati,18137 Wu Rapids,Cincinnati Fire Dept,1998,27,Bronze,0.513677
67,Manufacturing #67,Manufacturing,Ordinary,False,58189,Dayton,29244 Melanie Street,Dayton Fire Dept,2007,18,Silver,0.55364175
68,Hospitality #68,Hospitality,Moderate,False,30846,Cincinnati,2265 Brooke Trail,Cincinnati Fire Dept,2011,14,Gold,0.5489678333333333
69,Retail #69,Retail,Moderate,False,67803,Louisville,3300 Shaffer Overpass,Louisville Fire Dept,2014,11,Gold,0.5416855833333334
70,Office #70,Office,Moderate,False,69615,Dayton,555 Giles Mill Apt. 150,Dayton Fire Dept,2002,23,Silver,0.6830445833333334
71,Office #71,Office,Light,False,2000,Cincinnati,88742 Richard Lodge,Cincinnati Fire Dept,2022,3,Gold,0.2615
72,Office #72,Office,Moderate,False,36453,Louisville,02924 Mercer Views,Louisville Fire Dept,2003,22,Silver,0.6465064166666666
73,Office #73,Office,Light,True,85607,Louisville,17945 Mccall Stream,Louisville Fire Dept,2019,6,Bronze,0.15920525
74,Healthcare #74,Healthcare,Light,True,34259,Cincinnati,8440 Alejandro Wall Suite 279,Cincinnati Fire Dept,2008,17,Bronze,0.2490275833333333
75,Office #75,Office,Ordinary,False,59240,Akron,8458 Steven Junction,Akron Fire Dept,2017,8,Silver,0.43776333333333334
76,Office #76,Office,Light,True,12907,Dayton,0658 Christian Passage,Dayton Fire Dept,2007,18,Silver,0.24468025
77,Retail #77,Retail,Light,True,84619,Akron,89223 Bonnie Turnpike,Akron Fire Dept,2002,23,Silver,0.35679758333333333
78,Retail #78,Retail,High,True,56501,Cleveland,604 Sarah Plains Suite 889,Cleveland Fire Dept,2011,14,Silver,0.4307090833333333
79,Office #79,Office,Light,True,49805,Columbus,803 Ferguson Viaduct,Columbus Fire Dept,2022,3,Silver,0.09735374999999999
80,Retail #80,Retail,Ordinary,True,19998,Akron,983 Emily Mews Suite 632,Akron Fire Dept,2018,7,Silver,0.19666516666666667
81,Office #81,Office,Ordinary,True,103116,Dayton,1385 Cristina Wells,Dayton Fire Dept,2013,12,Silver,0.317337
82,Healthcare #82,Healthcare,Ordinary,True,50559,Akron,9400 Yesenia Springs Apt. 366,Akron Fire Dept,2005,20,Silver,0.37125258333333333
83,Manufacturing #83,Manufacturing,Ordinary,True,122930,Akron,921 Miller Corners,Akron Fire Dept,2005,20,Silver,0.4255308333333333
84,Hospitality #84,Hospitality,Ordinary,False,39887,Louisville,3243 Pamela Court Apt. 971,Louisville Fire Dept,2011,14,Gold,0.4932485833333333
85,Retail #85,Retail,Light,False,64967,Louisville,0550 Eric Mission Apt. 039,Louisville Fire Dept,2010,15,Gold,0.44872525
86,Warehouse #86,Warehouse,Light,False,73066,Dayton,729 Smith Highway,Dayton Fire Dept,1997,28,Gold,0.6064661666666668
87,Education #87,Education,Ordinary,True,71855,Cleveland,08272 Mcguire Mountain Suite 031,Cleveland Fire Dept,2008,17,Gold,0.35222458333333334
88,Hospitality #88,Hospitality,High,True,58046,Columbus,2988 Young Crest Apt. 267,Columbus Fire Dept,2010,15,Silver,0.4435345
89,Manufacturing #89,Manufacturing,Ordinary,True,42416,Cleveland,41034 Nancy Knoll,Cleveland Fire Dept,1999,26,Silver,0.43514533333333333
90,Office #90,Office,Moderate,True,93868,Cincinnati,41603 Christopher Harbors,Cincinnati Fire Dept,2009,16,Bronze,0.4195676666666666
91,Office #91,Office,Ordinary,True,31723,Louisville,06105 Johnson Park Apt. 286,Louisville Fire Dept,2019,6,Silver,0.19379225
92,Manufacturing #92,Manufacturing,Light,False,16766,Columbus,91013 Nicholas Plain,Columbus Fire Dept,1996,29,Gold,0.5759078333333334
93,Warehouse #93,Warehouse,Ordinary,True,79434,Dayton,91137 Cunningham Well,Dayton Fire Dept,2013,12,Gold,0.2995755
94,Education #94,Education,Ordinary,True,39623,Dayton,091 Amanda Bypass,Dayton Fire Dept,2003,22,Silver,0.3863839166666667
95,Manufacturing #95,Manufacturing,Ordinary,False,64879,Cincinnati,88128 Andrew Circle,Cincinnati Fire Dept,2013,12,Silver,0.48865925
96,Education #96,Education,Ordinary,True,35787,Cleveland,520 Mathew Lodge,Cleveland Fire Dept,2010,15,Bronze,0.30184025000000003
97,Retail #97,Retail,Ordinary,True,18336,Columbus,95255 Patricia Island,Columbus Fire Dept,2006,19,Bronze,0.33541866666666664
98,Office #98,Office,Ordinary,True,67182,Akron,84036 Christopher Drive Apt. 451,Akron Fire Dept,2013,12,Bronze,0.2903865
99,Warehouse #99,Warehouse,Ordinary,True,42960,Columbus,65654 Shelly Pike Suite 618,Columbus Fire Dept,2015,10,Silver,0.24888666666666667
100,Hospitality #100,Hospitality,Ordinary,False,82438,Akron,667 Amanda Street Suite 981,Akron Fire Dept,2010,15,Bronze,0.5368285
101,Hospitality #101,Hospitality,Moderate,True,12836,Cleveland,479 Giles Square,Cleveland Fire Dept,2010,15,Silver,0.347127
102,Retail #102,Retail,Moderate,False,93333,Columbus,1462 Deborah Inlet,Columbus Fire Dept,2019,6,Gold,0.50249975
103,Healthcare #103,Healthcare,Ordinary,True,2000,Cleveland,31575 Dean Village Apt. 517,Cleveland Fire Dept,2019,6,Silver,0.17149999999999999
104,Hospitality #104,Hospitality,Ordinary,True,2000,Columbus,9501 Virginia Mountains Suite 227,Columbus Fire Dept,2023,2,Silver,0.12483333333333334
105,Retail #105,Retail,Moderate,False,61233,Cincinnati,666 Elizabeth Ports Suite 751,Cincinnati Fire Dept,2014,11,Gold,0.5367580833333333
106,Office #106,Office,Light,True,52058,Columbus,90165 Crystal Trafficway,Columbus Fire Dept,1996,29,Silver,0.40237683333333335
107,Healthcare #107,Healthcare,Moderate,True,52249,Louisville,43002 Thomas Place Apt. 991,Louisville Fire Dept,1995,30,Silver,0.55168675
108,Office #108,Office,Ordinary,True,26410,Louisville,32767 Williams Freeway Apt. 664,Louisville Fire Dept,2002,23,Silver,0.38814083333333327
109,Retail #109,Retail,Light,True,2000,Louisville,94477 Karen Prairie,Louisville Fire Dept,2015,10,Bronze,0.14316666666666666
110,Retail #110,Retail,Ordinary,False,36413,Dayton,3075 Richard Meadows,Dayton Fire Dept,2022,3,Gold,0.36230975000000004
111,Manufacturing #111,Manufacturing,Moderate,False,65975,Cincinnati,16880 Sandra Inlet,Cincinnati Fire Dept,2015,10,Gold,0.5286479166666667
112,Office #112,Office,Ordinary,True,2000,Columbus,7392 Ramirez Tunnel,Columbus Fire Dept,2018,7,Bronze,0.18316666666666667
113,Office #113,Office,Ordinary,True,11887,Columbus,819 Barrera Skyway,Columbus Fire Dept,2001,24,Gold,0.38891525
114,Retail #114,Retail,Ordinary,False,35286,Columbus,85367 Paul Bypass Apt. 360,Columbus Fire Dept,2004,21,Silver,0.5714644999999999
115,Warehouse #115,Warehouse,Moderate,True,2000,Akron,6070 Lisa Place Suite 755,Akron Fire Dept,2010,15,Bronze,0.339
116,Healthcare #116,Healthcare,Ordinary,True,53171,Akron,12572 Joshua Circle Apt. 280,Akron Fire Dept,2004,21,Gold,0.38487825
117,Office #117,Office,Moderate,True,56553,Dayton,66281 Nicolas Run,Dayton Fire Dept,2003,22,Silver,0.4615814166666667
118,Manufacturing #118,Manufacturing,Ordinary,True,82551,Cleveland,37780 Rocha Unions Suite 550,Cleveland Fire Dept,2012,13,Bronze,0.3135799166666667
119,Healthcare #119,Healthcare,Light,True,68724,Louisville,632 Horton Via Suite 035,Louisville Fire Dept,2015,10,Silver,0.19320966666666667
120,Retail #120,Retail,Ordinary,False,73561,Louisville,919 Richmond Inlet Apt. 208,Louisville Fire Dept,2004,21,Gold,0.60017075
121,Warehouse #121,Warehouse,Light,True,17545,Cincinnati,3080 Byrd Fall,Cincinnati Fire Dept,2003,22,Gold,0.2948254166666667
122,Office #122,Office,Ordinary,True,76475,Cincinnati,7969 King Rue,Cincinnati Fire Dept,1996,29,Gold,0.49568958333333335
123,Manufacturing #123,Manufacturing,Ordinary,True,44590,Dayton,155 White Mountains,Dayton Fire Dept,2024,1,Bronze,0.14510916666666668
124,Retail #124,Retail,Ordinary,True,2000,Cincinnati,695 Lynn Haven Apt. 424,Cincinnati Fire Dept,1999,26,Silver,0.4048333333333333
125,Warehouse #125,Warehouse,Ordinary,True,2000,Louisville,747 Eric Pike,Louisville Fire Dept,2009,16,Silver,0.2881666666666666
126,Warehouse #126,Warehouse,High,True,10795,Dayton,40138 Smith Mall,Dayton Fire Dept,2005,20,Silver,0.4664295833333333
127,Office #127,Office,Light,True,53344,Cincinnati,504 Simmons Tunnel,Cincinnati Fire Dept,2000,25,Gold,0.3566746666666667
128,Office #128,Office,Ordinary,True,75052,Cincinnati,828 Joseph Track,Cincinnati Fire Dept,2019,6,Silver,0.22628899999999996
129,Office #129,Office,Moderate,True,98927,Louisville,49126 Smith Neck Apt. 304,Louisville Fire Dept,2015,10,Silver,0.35336191666666666
130,Warehouse #130,Warehouse,High,True,14547,Louisville,297 Douglas Tunnel Apt. 819,Louisville Fire Dept,2024,1,Bronze,0.24757691666666667
131,Education #131,Education,Ordinary,True,64188,Columbus,039 Flores Circle,Columbus Fire Dept,1997,28,Gold,0.47480766666666663
132,Warehouse #132,Warehouse,Light,True,55223,Columbus,98419 Bush Lodge Suite 397,Columbus Fire Dept,2010,15,Gold,0.24141724999999997
133,Healthcare #133,Healthcare,Moderate,True,96869,Cincinnati,53281 Jennifer Ports,Cincinnati Fire Dept,2016,9,Bronze,0.34015175000000003
134,Office #134,Office,Light,True,12195,Akron,9011 Emily Valleys Suite 198,Akron Fire Dept,1999,26,Silver,0.3374795833333334
135,Office #135,Office,Light,True,98926,Louisville,1335 Jade Glens,Louisville Fire Dept,1998,27,Gold,0.4141945
136,Education #136,Education,Ordinary,True,12527,Louisville,51243 Davis Stravenue Suite 936,Louisville Fire Dept,2012,13,Gold,0.2610619166666667
137,Warehouse #137,Warehouse,Moderate,True,2000,Akron,99772 Emily Green Suite 685,Akron Fire Dept,2008,17,Silver,0.36233333333333334
138,Education #138,Education,Light,True,19648,Dayton,5267 Courtney Gardens,Dayton Fire Dept,1999,26,Silver,0.34306933333333334
139,Healthcare #139,Healthcare,Ordinary,False,41033,Cleveland,468 Sandoval Underpass Apt. 517,Cleveland Fire Dept,2017,8,Silver,0.42410808333333333
140,Office #140,Office,Moderate,True,52586,Akron,0812 Mccormick Viaduct,Akron Fire Dept,2022,3,Gold,0.2369395
141,Manufacturing #141,Manufacturing,Moderate,False,53196,Louisville,5506 Victoria Glens,Louisville Fire Dept,2018,7,Gold,0.4840636666666667
142,Education #142,Education,High,True,10137,Dayton,8501 Miller Crescent,Dayton Fire Dept,2015,10,Silver,0.34926941666666667
143,Manufacturing #143,Manufacturing,Ordinary,False,81425,Louisville,56564 David Port,Louisville Fire Dept,2014,11,Silver,0.48940208333333335
144,Office #144,Office,High,False,22413,Akron,85986 House Isle,Akron Fire Dept,2023,2,Gold,0.4651430833333334
145,Healthcare #145,Healthcare,Light,True,102151,Dayton,7696 Katie Land Suite 321,Dayton Fire Dept,1995,30,Silver,0.45161324999999997
146,Manufacturing #146,Manufacturing,Ordinary,True,140365,Louisville,4065 Lauren Springs,Louisville Fire Dept,2022,3,Silver,0.24027375
147,Hospitality #147,Hospitality,Ordinary,True,72258,Akron,0516 Teresa Green Suite 036,Akron Fire Dept,1995,30,Silver,0.5041935
148,Office #148,Office,Moderate,False,2000,Cincinnati,457 Christine Passage Apt. 945,Cincinnati Fire Dept,2018,7,Gold,0.4456666666666667
149,Healthcare #149,Healthcare,Moderate,True,24194,Cincinnati,75036 Marshall Wells,Cincinnati Fire Dept,2000,25,Gold,0.4723121666666667
150,Manufacturing #150,Manufacturing,Light,True,53365,Akron,016 Clinton Shoals,Akron Fire Dept,2009,16,Bronze,0.25169041666666664
151,Retail #151,Retail,Light,True,44630,Akron,72678 Susan Field Suite 897,Akron Fire Dept,2002,23,Silver,0.32680583333333335
152,Hospitality #152,Hospitality,High,False,11666,Louisville,9204 Gregory Locks Suite 495,Louisville Fire Dept,2004,21,Gold,0.6787494999999999
153,Warehouse #153,Warehouse,Ordinary,False,2000,Cincinnati,2717 Flynn Avenue,Cincinnati Fire Dept,2007,18,Silver,0.5115
154,Office #154,Office,Light,False,35647,Akron,754 Warren Square Suite 360,Akron Fire Dept,2007,18,Silver,0.46173525
155,Warehouse #155,Warehouse,Ordinary,False,56690,Cleveland,204 Justin Mall Apt. 157,Cleveland Fire Dept,2010,15,Silver,0.5175175000000001
156,Hospitality #156,Hospitality,Light,True,38237,Dayton,2942 Eric Estates Apt. 146,Dayton Fire Dept,1996,29,Gold,0.39201108333333334
157,Office #157,Office,Ordinary,True,61667,Louisville,73639 Michael Green Apt. 360,Louisville Fire Dept,2000,25,Silver,0.4379169166666667
158,Education #158,Education,Ordinary,True,60882,Louisville,1306 Curtis Greens,Louisville Fire Dept,1999,26,Gold,0.44899483333333334
159,Hospitality #159,Hospitality,Moderate,True,27856,Cincinnati,0084 Welch Cape Suite 617,Cincinnati Fire Dept,2003,22,Silver,0.4400586666666667
160,Retail #160,Retail,Ordinary,True,47271,Akron,04640 Elizabeth Square,Akron Fire Dept,2008,17,Bronze,0.33378658333333333
161,Hospitality #161,Hospitality,Light,True,62686,Columbus,194 Olsen Grove,Columbus Fire Dept,1997,28,Gold,0.3986811666666667
162,Office #162,Office,High,True,71591,Cincinnati,71169 Kristen Forks Suite 309,Cincinnati Fire Dept,2021,4,Silver,0.3253599166666667
163,Retail #163,Retail,Light,False,2000,Columbus,22235 Baldwin Manors Apt. 875,Columbus Fire Dept,2024,1,Silver,0.2381666666666667
164,Office #164,Office,High,True,10127,Columbus,72017 Michelle Hollow Apt. 325,Columbus Fire Dept,2006,19,Gold,0.45426191666666665
165,Retail #165,Retail,Moderate,True,57241,Cleveland,601 Andrew Path Suite 363,Cleveland Fire Dept,1996,29,Bronze,0.5437640833333334
166,Retail #166,Retail,Light,True,4057,Columbus,292 Russo Key Apt. 711,Columbus Fire Dept,2010,15,Gold,0.20304275
167,Office #167,Office,Light,True,41814,Columbus,02331 Ann Shore,Columbus Fire Dept,2006,19,Bronze,0.27802716666666666
168,Healthcare #168,Healthcare,Ordinary,True,32629,Dayton,525 Seth Glen,Dayton Fire Dept,2014,11,Silver,0.25280508333333335
169,Manufacturing #169,Manufacturing,Light,False,67067,Louisville,4712 Flynn Unions,Louisville Fire Dept,2013,12,Gold,0.41530025
170,Education #170,Education,Moderate,True,63129,Columbus,9618 Brown Loaf,Columbus Fire Dept,2024,1,Silver,0.22151341666666666
171,Hospitality #171,Hospitality,Ordinary,True,84444,Dayton,8894 Devin Prairie Apt. 642,Dayton Fire Dept,2000,25,Silver,0.4549996666666667
172,Retail #172,Retail,High,True,69712,Cleveland,29206 Paula Turnpike Suite 817,Cleveland Fire Dept,1999,26,Gold,0.5806173333333333
173,Manufacturing #173,Manufacturing,Light,True,55206,Columbus,86172 Benjamin Center,Columbus Fire Dept,2015,10,Silver,0.18307116666666667
174,Office #174,Office,Ordinary,False,88269,Akron,2781 John Mall Suite 610,Akron Fire Dept,2016,9,Bronze,0.47120175000000003
175,Retail #175,Retail,Light,True,36784,Dayton,09925 Denise Trail,Dayton Fire Dept,2017,8,Gold,0.14592133333333332
176,Hospitality #176,Hospitality,Light,True,63484,Cleveland,823 Kevin Well,Cleveland Fire Dept,2003,22,Bronze,0.3292796666666667
177,Warehouse #177,Warehouse,Ordinary,False,76365,Akron,113 Peters Radial Apt. 330,Akron Fire Dept,2012,13,Silver,0.5089404166666667
178,Office #178,Office,Ordinary,True,44958,Cleveland,5255 Torres Run,Cleveland Fire Dept,2008,17,Silver,0.3320518333333333
179,Education #179,Education,Ordinary,True,74216,Louisville,312 Robinson Road,Louisville Fire Dept,2000,25,Silver,0.4473286666666667
180,Warehouse #180,Warehouse,High,False,61277,Columbus,92356 Norris Turnpike,Columbus Fire Dept,2019,6,Bronze,0.54095775
181,Healthcare #181,Healthcare,Moderate,True,118353,Cleveland,1051 Wyatt Spur,Cleveland Fire Dept,1995,30,Gold,0.6012647499999999
182,Warehouse #182,Warehouse,Light,True,58341,Akron,81134 Copeland Forge,Akron Fire Dept,2013,12,Gold,0.20875574999999996
183,Education #183,Education,Light,True,43192,Cleveland,2434 Wall Corners,Cleveland Fire Dept,2014,11,Silver,0.18572733333333333
184,Office #184,Office,Moderate,True,11561,Louisville,207 Emily Path Suite 667,Louisville Fire Dept,1999,26,Bronze,0.4745040833333333
185,Office #185,Office,Ordinary,False,129276,Dayton,809 Beth Spurs,Dayton Fire Dept,2003,22,Bronze,0.6536236666666666
186,Office #186,Office,Moderate,False,46857,Cincinnati,15226 Amy Forge,Cincinnati Fire Dept,2013,12,Silver,0.53764275
187,Education #187,Education,Light,True,36698,Cincinnati,0385 Peters Expressway,Cincinnati Fire Dept,2008,17,Silver,0.2508568333333333
188,Retail #188,Retail,High,True,81788,Cleveland,342 Tiffany Wall,Cleveland Fire Dept,2003,22,Silver,0.5430076666666667
189,Warehouse #189,Warehouse,Ordinary,True,63422,Louisville,7036 Cook Mall Apt. 610,Louisville Fire Dept,1998,27,Silver,0.46256650000000005
190,Healthcare #190,Healthcare,Moderate,True,21162,Columbus,11672 Amanda Lakes,Columbus Fire Dept,2017,8,Gold,0.27170483333333334
191,Education #191,Education,Ordinary,True,37786,Cleveland,58442 Griffith Station,Cleveland Fire Dept,2002,23,Bronze,0.3966728333333333
192,Office #192,Office,Ordinary,True,15341,Cincinnati,574 Joseph Circles Apt. 225,Cincinnati Fire Dept,2022,3,Gold,0.14650575000000002
193,Healthcare #193,Healthcare,Light,False,36895,Columbus,719 Nicholas Road,Columbus Fire Dept,1997,28,Gold,0.5793379166666668
194,Education #194,Education,Moderate,False,37107,Cincinnati,849 Cox Landing,Cincinnati Fire Dept,1995,30,Gold,0.74033025
195,Healthcare #195,Healthcare,Light,True,46116,Columbus,2144 Miller Groves,Columbus Fire Dept,2007,18,Silver,0.26958699999999997
196,Manufacturing #196,Manufacturing,Light,False,28704,Columbus,66199 Spencer Stream,Columbus Fire Dept,2016,9,Gold,0.351528
197,Office #197,Office,Light,True,75905,Cincinnati,74585 Bean Station Suite 922,Cincinnati Fire Dept,2017,8,Bronze,0.17526208333333332
198,Retail #198,Retail,Ordinary,False,48318,Cincinnati,390 Nicholas Inlet Suite 854,Cincinnati Fire Dept,2020,5,Bronze,0.39457183333333334
199,Warehouse #199,Warehouse,Light,True,34102,Louisville,388 James Mission,Louisville Fire Dept,2023,2,Silver,0.07390983333333333
